VMA;lat;lon
50;47.98092;2.75456
50;46.59771;5.45883
50;49.846;3.3012
90;45.36571;1.99313
80;44.84815;0.12568
80;45.49629;0.94784
90;48.67568;-0.51992
90;48.93356;2.37925
90;48.9355;2.40266
70;47.28251;-2.31011
80;47.00263;-1.82915
80;47.00262;-1.83036
50;48.96498;6.55004
80;44.95437;2.58573
90;47.57258;0.27859
80;47.61531;0.65914
90;49.03754;2.50757
80;4.81139;-52.3538
50;48.88705;2.1003
90;49.1436;0.36219
70;45.18901;6.68507
70;45.17163;6.68451
70;48.86913;2.15811
70;48.86913;2.15812
70;48.86913;2.15813
70;48.85599;2.15601
70;48.85599;2.15602
70;48.85599;2.15603
70;48.85599;2.15604
70;48.85599;2.15605
70;48.85599;2.15606
70;48.83959;2.14521
70;48.83959;2.14522
70;48.83959;2.14523
70;48.83959;2.14524
70;48.83959;2.14525
70;48.83959;2.14526
70;48.83101;2.14801
70;48.83101;2.14802
70;48.83101;2.14803
70;48.83101;2.14804
70;48.83101;2.14805
70;48.83101;2.14807
70;48.81291;2.15921
70;48.81291;2.15922
70;48.81291;2.15923
70;48.81291;2.15924
70;48.81291;2.15925
70;48.81291;2.15926
70;48.79863;2.16321
70;48.79863;2.16322
70;48.79863;2.16323
70;48.79863;2.16324
70;48.79863;2.16325
70;48.79863;2.16326
70;48.78416;2.15621
70;48.78416;2.15622
70;48.78416;2.15623
50;48.83665;2.37842
70;48.89171;2.23885
110;46.1463;5.6332
80;43.65824;7.07415
90;46.66415;0.27807
80;49.9093;3.34225
110;48.681;4.74788
90;44.41325;2.09555
90;48.16753;-0.09736
80;47.85345;-0.02991
90;48.40735;0.18193
90;48.7281;2.603
90;45.93421;0.53397
80;47.74824;1.04097
80;44.3969;6.47924
50;48.28941;4.08516
90;44.56794;2.6538
110;48.95187;-1.00797
90;45.59394;0.2701
70;42.6111;9.48231
80;44.98155;4.88148
80;43.7598;0.61974
90;44.88037;-0.52507
80;46.47403;6.0645
90;46.86729;5.67538
80;44.64139;2.07925
80;44.37736;0.34103
70;50.63442;3.08575
90;48.69887;0.32917
90;48.57204;0.16915
80;43.50138;-0.31953
80;43.24853;-0.072138
80;42.65222;2.55013
80;48.96515;7.61618
70;45.82676;4.75631
50;48.8676;2.1378
80;48.46081;1.8927
110;46.34057;-0.39667
70;48.61327;2.25471
70;48.89299;2.25972
50;48.7728;2.4397
90;49.0336;2.3462
70;16.40919;-61.4683
90;47.249543;0.449324
90;48.39674;4.36824
90;48.35836;4.10435
110;49.3148;-1.0953
90;48.49737;1.70422
90;47.15435;-0.18349
90;47.59581;-0.58857
70;50.30102;2.78397
80;44.07468;1.28336
70;43.59885;3.84185
30;48.87912;2.34761
80;49.2148;3.3708
110;48.6399;2.1536
90;4.91361;-52.3294
50;5.01137;-52.46997
70;47.60314;1.34772
80;44.036;6.10951
70;43.857;5.60383
80;48.61929;-3.77442
50;43.58045;1.39584
70;47.19126;0.29608
90;48.7184;2.2926
110;48.77981;2.18948
50;48.8867;2.0984
110;48.6319;2.5256
90;47.32157;1.07752
90;48.77228;2.34565
50;48.81296;2.42736
80;47.71148;-3.22242
70;46.84953;0.49934
70;47.55821;1.29675
80;47.32609;-1.47804
80;47.05021;-1.36625
70;47.97951;0.20027
70;47.87434;1.84459
90;48.07385;2.76789
80;43.50248;-0.58559
70;43.7769;7.27639
80;45.48539;6.14529
80;46.0686;6.44769
70;43.96119;2.17115
80;46.87029;-1.93763
90;47.54967;6.77477
110;48.8314;2.6426
90;48.5815;2.9621
50;43.22008;0.06637
110;49.52216;4.36342
70;15.99802;-61.60533
50;46.02538;2.13442
90;50.05332;3.93013
130;50.72106;2.74673
80;43.96279;6.73998
70;48.58703;-1.13328
80;44.64784;6.08645
80;49.01197;1.3162
70;46.99567;3.11778
70;47.0018;3.09993
90;48.92523;2.39371
70;48.88166;2.47448
80;48.47226;3.46008
80;42.7512;1.77227
90;49.05014;2.14312
90;49.06125;2.08489
90;46.59105;3.47675
50;49.3195;0.13222
90;45.28102;0.04335
70;42.58693;9.50569
80;48.18909;-1.18254
90;46.8288;1.81975
70;45.41628;4.4055
80;47.11442;-1.28277
90;47.68875;1.95795
90;48.2057;2.23879
80;48.0257;-2.95799
110;49.1442;7.04166
90;48.07047;0.53176
90;47.72732;-0.1134
80;45.76082;6.38952
80;44.07771;1.09206
90;43.89726;1.02568
130;44.1952;4.73481
80;45.82071;1.19368
50;48.8259;2.2016
50;48.81546;2.22413
70;48.81114;2.33759
110;43.64319;7.13355
80;48.1988;4.76694
70;44.86983;1.24402
50;47.25103;6.00963
90;47.32595;6.78399
130;49.3905;0.5142
80;49.27827;3.84392
70;48.05891;-0.77082
50;48.03263;-0.70329
90;48.7198;6.16654
110;50.71186;3.12333
90;48.79806;0.00732
90;48.7812;2.01914
70;48.72478;1.89152
130;49.94314;2.85223
80;46.8157;0.44463
70;45.79046;4.81196
70;45.79056;4.81219
90;47.41574;-0.16805
130;48.56124;0.17585
130;48.53353;0.16232
80;43.74869;0.33597
90;48.62715;0.12979
70;42.51095;9.38193
70;42.50639;9.36523
70;48.05884;-0.7707
70;47.7235;-0.00997
50;47.77195;-3.37782
80;45.17523;0.38831
80;47.14395;6.27066
80;46.292;6.2728
90;48.616;2.4557
90;48.807;2.4488
80;44.708;6.0384
90;48.939;2.417
90;45.6292;5.13707
80;43.88506;4.43746
50;44.9445;2.4606
50;47.827527;6.377446
70;43.182;1.2436
80;44.514;1.0687
50;47.366;2.4323
50;4.94468;-52.31493
90;46.918;6.3006
90;48.745;0.2682
90;48.69;-0.5744
50;43.716;7.2824
70;48.485;1.4669
50;45.039;3.8881
70;49.6294;-1.6336
80;48.90594;7.43151
50;48.585732;7.784924
90;49.138;2.2539
50;47.968;2.7578
50;5.0148;-52.47609
70;4.90992;-52.37054
70;5.48704;-53.99413
50;5.49099;-54.03177
90;45.463;1.5019
80;48.52;-2.4379
70;48.579;-3.0673
70;47.030514;1.097518
50;50.714;2.6317
50;48.87363;2.26748
50;48.837;2.3776
70;48.900701;2.361351
70;48.869597;2.413182
70;48.900368;2.374834
70;48.826;2.2988
70;48.84569;2.41434
80;43.207;6.4842
90;48.926;2.2345
50;48.845;2.2267
80;42.48;9.4809
80;42.314;9.5414
70;42.266723;9.548973
70;42.257;9.5466
70;48.818;2.3688
70;48.866458;2.268784
90;49.02055;-0.73643
70;46.714;5.5848
70;45.7;4.8355
50;48.809;2.1479
80;49.778;2.25
70;49.09587;0.30311
70;43.932;4.948
90;44.842;2.4786
80;44.881;2.309
80;44.728;2.201
50;48.402;1.3886
80;43.425;0.2871
90;44.032;0.4669
70;50.758;2.4193
70;50.75638;2.41687
80;46.883234;4.395298
90;46.565;5.0365
90;48.241;-0.04168
90;47.80844;-0.27798
90;47.813242;0.062468
50;46.145;6.0962
50;48.942;2.364
50;48.847217;2.410152
50;48.847222;2.408315
90;46.381;3.2954
90;43.948;2.912
50;47.218;5.2566
80;49.058;0.5715
80;43.739;0.356
80;48.052;-1.7224
80;47.5582;-0.10143
80;47.313826;-0.402958
90;47.248639;-0.912927
50;49.29;4.0043
